GenBank Assembly ID (Accession.version)	GenBank release ID	RefSeq Assembly ID (Accession.version)	RefSeq release ID 	
GCA_900636915.1	8122338	GCF_900636915.1	8152498	
GCA_000739435.1	1187558	GCF_000739435.1	1489928	
GCA_016889385.1	25005848	GCF_016889385.1	25023508	
GCA_014541205.1	22072698	GCF_014541205.1	22128158	
GCA_900476035.1	6716728	GCF_900476035.1	6724598	
GCA_011455875.1	17796548	GCF_011455875.1	17945768	
GCA_011455495.1	17796168	GCF_011455495.1	17945588	
GCA_000007745.1	8548	GCF_000007745.1	29328	
GCA_900186835.1	4960348	GCF_900186835.1	4963878	
GCA_900186995.1	4959788	GCF_900186995.1	4965358	
GCA_900475885.1	6716388	GCF_900475885.1	6725478	
GCA_015356115.1	23064248	GCF_015356115.1	23093558	
GCA_029774155.1	42176308	GCF_029774155.1	42241638	
GCA_013377295.1	20176758	GCF_013377295.1	20177828	
GCA_900635775.1	8120028	GCF_900635775.1	8152358	
GCA_013377195.1	20176658	GCF_013377195.1	20177708	
GCA_009684715.1	15470578	GCF_009684715.1	15492848	
GCA_002073255.2	6154098	GCF_002073255.2	6179178	
GCA_000931575.1	1636528	GCF_000931575.1	1659138	
GCA_900638445.1	8124958	GCF_900638445.1	8152718	
GCA_017352235.1	25546428	GCF_017352235.1	25555108	
GCA_023518055.1	33476938	GCF_023518055.1	33528538	
GCA_011765605.1	18128628	GCF_011765605.1	18196198	
GCA_001647695.1	3246998	GCF_001647695.1	3251818	
GCA_000019405.1	20208	GCF_000019405.1	40448	
GCA_900477945.1	6715488	GCF_900477945.1	6724198	
GCA_000521725.1	895198	GCF_000521725.1	1524168	
GCA_000521695.1	895178	GCF_000521695.1	1497298	
GCA_011455695.1	17796388	GCF_011455695.1	17945408	
GCA_010587025.1	16732688	GCF_010587025.1	17320938	
GCA_020810675.1	30055578	GCF_020810675.1	30085048	
GCA_003265225.1	6727308	GCF_003265225.1	37424958	
GCA_000801145.1	1420648	GCF_000801145.1	1488868	
GCA_018343795.1	26688718	GCF_018343795.1	26864088	
GCA_003101015.1	6464158	GCF_003101015.1	6486938	
GCA_004519515.1	8950308	GCF_004519515.1	17275308	
GCA_030517105.1	45375888	GCF_030517105.1	45518518	
GCA_013378015.1	20180568	GCF_013378015.1	20240968	
GCA_900638385.1	8124838	GCF_900638385.1	8159398	
GCA_013377275.1	20176738	GCF_013377275.1	20177668	
GCA_000772265.1	1369758	GCF_000772265.1	1469038	
GCA_000191405.1	248658	GCF_000191405.1	251758	
GCA_000730685.1	1175118	GCF_000730685.1	1703148	
GCA_004339625.1	8723648	GCF_004339625.1	8749958	
GCA_900450725.1	6997988	GCF_900450725.1	7019118	
GCA_004362535.1	8770218	GCF_004362535.1	8782218	
GCA_900454705.1	6998568	GCF_900454705.1	7023798	
GCA_000262245.1	379138	GCF_000262245.1	382198	
GCA_000374285.1	605628	GCF_000374285.1	636678	
GCA_000175195.1	218458	GCF_000175195.1	218478	
GCA_029783845.1	42186338	GCF_029783845.1	42248608	
GCA_900460625.1	7044318	GCF_900460625.1	7051848	
GCA_900444945.1	7044458	GCF_900444945.1	7050828	
GCA_900454535.1	6996668	GCF_900454535.1	7018938	
GCA_900454895.1	6999308	GCF_900454895.1	7024418	
GCA_003130255.1	6500068	GCF_003130255.1	6535628	
GCA_000940515.1	1655558	GCF_000940515.1	1660618	
GCA_004363295.1	8770978	GCF_004363295.1	8784528	
GCA_009761395.1	15639178	GCF_009761395.1	15650868	
GCA_000827595.2	5808638	GCF_000827595.2	5813868	
GCA_004339025.1	8723168	GCF_004339025.1	8753538	
GCA_004342725.1	8726688	GCF_004342725.1	8756468	
GCA_014884995.1	22519768	GCF_014884995.1	25793038	
GCA_000772535.1	1369938	GCF_000772535.1	1431498	
GCA_901764995.1	11185798	GCF_901764995.1	11388828	
GCA_002000485.1	4131408	GCF_002000485.1	4139678	
GCA_003260095.1	6713808	GCF_003260095.1	6726478	
GCA_002795405.1	5681018	GCF_002795405.1	5686058	
GCA_024622045.1	35149538	GCF_024622045.1	35253208	
GCA_014885015.1	22519808	GCF_014885015.1	25793018	
GCA_004345745.1	8736848	GCF_004345745.1	8751718	
GCA_002000125.1	4130958	GCF_002000125.1	4139478	
GCA_002015115.1	4171258	GCF_002015115.1	4178628	
GCA_002795425.1	5681038	GCF_002795425.1	5685198	
GCA_003096995.1	6457538	GCF_003096995.1	7199908	
GCA_001999305.1	4128598	GCF_001999305.1	4139378	
GCA_004340985.1	8724968	GCF_004340985.1	8747478	
GCA_014884965.1	22519728	GCF_014884965.1	25793058	
GCA_001998825.1	4127818	GCF_001998825.1	4141218	
GCA_001998965.1	4127998	GCF_001998965.1	4139158	
GCA_002921145.1	5999738	GCF_002921145.1	6011078	
GCA_002591855.1	5421248	GCF_002591855.1	5481448	
GCA_008605885.1	13967178	GCF_008605885.1	14065848	
GCA_000287615.1	411808	GCF_000287615.1	419908	
GCA_900451065.1	6996208	GCF_900451065.1	7020178	
GCA_900445015.1	7040458	GCF_900445015.1	7051708	
GCA_028649575.1	40817398	GCF_028649575.1	40880408	
GCA_002850605.1	5829458	GCF_002850605.1	5858458	
GCA_901687125.1	14129588	GCF_901687125.1	14168168	
GCA_004569585.1	9036148	GCF_004569585.1	9092638	
GCA_002000425.1	4131348	GCF_002000425.1	4140838	
GCA_009761375.1	15639198	GCF_009761375.1	15650808	
GCA_000754275.1	1202348	GCF_000754275.1	1497178	
GCA_900187275.1	4960628	GCF_900187275.1	4965418	
GCA_900636625.1	8121768	GCF_900636625.1	8152138	
GCA_020736045.1	29943738	GCF_020736045.1	29959538	
GCA_001457655.1	2704358	GCF_001457655.1	2716328	
GCA_003290385.1	6783368	GCF_003290385.1	6862748	
GCA_000178495.2	6441638	GCF_000178495.2	6450858	
GCA_016127215.1	24000748	GCF_016127215.1	24054508	
GCA_013377235.1	20176698	GCF_013377235.1	20177628	
GCA_900187155.1	4959988	GCF_900187155.1	4965398	
GCA_029773685.1	42175808	GCF_029773685.1	42241778	
GCA_016127115.1	24000648	GCF_016127115.1	24054608	
GCA_900636745.1	8122008	GCF_900636745.1	8464518	
GCA_029773665.1	42175788	GCF_029773665.1	42241458	
GCA_019930905.1	28798678	GCF_019930905.1	29033738	
GCA_013377995.1	20180548	GCF_013377995.1	20241028	
GCA_009828705.1	15729808	GCF_009828705.1	15855958	
GCA_019916005.1	28771918	GCF_019916005.1	28797578	
GCA_022179625.1	31749788	GCF_022179625.1	31795978	
GCA_030846735.1	46481478	GCF_030846735.1	46554038	
GCA_029873295.1	42306618	GCF_029873295.1	42383858	
GCA_003402895.1	7102998	GCF_003402895.1	7132578	
GCA_002859465.1	5838328	GCF_002859465.1	5859038	
GCA_026315165.1	37584048	GCF_026315165.1	37686948	
GCA_026315145.1	37584028	GCF_026315145.1	37687008	
GCA_026409245.1	37689328	GCF_026409245.1	37728618	
GCA_026409225.1	37689308	GCF_026409225.1	37728438	
GCA_026409265.1	37689348	GCF_026409265.1	37727848	
GCA_026409305.1	37689388	GCF_026409305.1	37728268	
GCA_026315085.1	37583988	GCF_026315085.1	37687268	
GCA_029224005.1	41490168	GCF_029224005.1	41511238	
GCA_026409365.1	37689828	GCF_026409365.1	37728468	
GCA_002859425.1	5838288	GCF_002859425.1	5858218	
GCA_026409285.1	37689368	GCF_026409285.1	37728878	
GCA_026315065.1	37583968	GCF_026315065.1	37687148	
GCA_026315125.1	37584008	GCF_026315125.1	37687108	
GCA_026315225.1	37584208	GCF_026315225.1	37687068	
GCA_026409345.1	37689528	GCF_026409345.1	37728698	
GCA_026636255.1	38012118	GCF_026636255.1	38186658	
GCA_031188105.1	47002918	GCF_031188105.1	47164338	
GCA_021441925.1	30921018	GCF_021441925.1	30955898	
GCA_003402935.1	7103038	GCF_003402935.1	7133798	
GCA_003402875.1	7102978	GCF_003402875.1	7134578	
GCA_006274235.1	11145118	GCF_006274235.1	11385168	
GCA_006351865.1	11231798	GCF_006351865.1	11477348	
GCA_003402915.1	7103018	GCF_003402915.1	7128788	
GCA_023573085.1	33604708	GCF_023573085.1	33652318	
GCA_026409325.1	37689408	GCF_026409325.1	37728398	
GCA_022637295.1	32358448	GCF_022637295.1	32391848	
GCA_023573025.1	33604648	GCF_023573025.1	33651798	
GCA_019754275.1	28564688	GCF_019754275.1	28584348	
GCA_001721885.1	3438848	GCF_001721885.1	3439648	
GCA_011149495.1	17463068	GCF_011149495.1	17620398	
GCA_030122645.1	42932858	GCF_030122645.1	42939538	
GCA_030059805.1	42806688	GCF_030059805.1	42815998	
GCA_016313205.1	24193488	GCF_016313205.1	24285548	
GCA_023587705.1	33647858	GCF_023587705.1	33691218	
GCA_023587685.1	33647778	GCF_023587685.1	33694198	
GCA_019754255.1	28564668	GCF_019754255.1	28583748	
GCA_024055505.2	41492088	GCF_024055505.2	41539378	
GCA_019134675.1	27713408	GCF_019134675.1	27788908	
GCA_002891845.2	15601468	GCF_002891845.2	15619108	
GCA_001874445.1	3719618	GCF_001874445.1	3722508	
GCA_002891825.2	15601608	GCF_002891825.2	15618448	
GCA_031463095.1	47409708	GCF_031463095.1	47561318	
GCA_023572905.1	33604528	GCF_023572905.1	33660088	
GCA_031583005.1	47557298	N/A	N/A	
GCA_002393385.1	5130568	GCF_002393385.1	5147118	
GCA_002591295.1	5410988	GCF_002591295.1	5477148	
GCA_004792555.1	9298368	GCF_004792555.1	9333418	
GCA_002859325.1	5838188	GCF_002859325.1	5858198	
GCA_029762475.1	42162708	GCF_029762475.1	45027778	
GCA_009646155.1	15233438	GCF_009646155.1	15296788	
GCA_002859265.1	5838128	GCF_002859265.1	5858918	
GCA_002859525.1	5838388	GCF_002859525.1	5858298	
GCA_002859545.1	5838408	GCF_002859545.1	5858318	
GCA_002859245.1	5838108	GCF_002859245.1	5858858	
GCA_023573065.1	33604688	GCF_023573065.1	33652908	
GCA_002859485.1	5838348	GCF_002859485.1	5858558	
GCA_002859385.1	5838248	GCF_002859385.1	5858538	
GCA_023573005.1	33604628	GCF_023573005.1	33652638	
GCA_014495805.1	22010928	GCF_014495805.1	22046768	
GCA_002859345.1	5838208	GCF_002859345.1	5858958	
GCA_002859405.1	5838268	GCF_002859405.1	5857958	
GCA_002859365.1	5838228	GCF_002859365.1	5858998	
GCA_002859505.1	5838368	GCF_002859505.1	5857978	
GCA_031432935.1	47335838	GCF_031432935.1	47543298	
GCA_017815735.1	26088978	GCF_017815735.1	26180048	
GCA_020971725.1	30279398	GCF_020971725.1	30309538	
GCA_900638665.1	8125468	GCF_900638665.1	8153498	
GCA_002859285.1	5838148	GCF_002859285.1	5858498	
GCA_002859305.1	5838168	GCF_002859305.1	5857918	
GCA_026153375.1	37359448	GCF_026153375.1	37387868	
GCA_026153335.1	37359408	GCF_026153335.1	37388008	
GCA_004792635.1	9298488	GCF_004792635.1	9332638	
GCA_023587605.1	33647528	GCF_023587605.1	33693998	
GCA_004792575.1	9298408	GCF_004792575.1	9333098	
GCA_023587725.1	33647878	GCF_023587725.1	33691098	
GCA_023587625.1	33647578	GCF_023587625.1	33694058	
GCA_900478175.1	6710848	GCF_900478175.1	6726578	
GCA_023572925.1	33604548	GCF_023572925.1	33652138	
GCA_004792595.1	9298428	GCF_004792595.1	9333118	
GCA_023572945.1	33604568	GCF_023572945.1	33652928	
GCA_003061385.1	6391388	GCF_003061385.1	6419918	
GCA_023587645.1	33647628	GCF_023587645.1	33694138	
GCA_023573125.1	33604748	GCF_023573125.1	33651718	
GCA_002073295.2	6152028	GCF_002073295.2	6184678	
GCA_023587585.1	33647508	GCF_023587585.1	33690818	
GCA_018139065.1	26461608	GCF_018139065.1	26681858	
GCA_023572985.1	33604608	GCF_023572985.1	33652078	
GCA_023572885.1	33604508	GCF_023572885.1	33652178	
GCA_009739555.1	15599288	GCF_009739555.1	15618188	
GCA_023572865.1	33604488	GCF_023572865.1	33651818	
GCA_003061265.1	6391248	GCF_003061265.1	6418878	
GCA_014058465.1	21402428	GCF_014058465.1	21533868	
GCA_014058485.1	21402488	GCF_014058485.1	21533508	
GCA_014058585.1	21402548	GCF_014058585.1	21533888	
GCA_014058605.1	21402568	GCF_014058605.1	21534288	
GCA_014058665.1	21402628	GCF_014058665.1	21534088	
GCA_014058625.1	21402588	GCF_014058625.1	21533548	
GCA_014058645.1	21402608	GCF_014058645.1	21534048	
GCA_023587665.1	33647668	GCF_023587665.1	33691378	
GCA_023587305.1	33647308	GCF_023587305.1	33690918	
GCA_023573045.1	33604668	GCF_023573045.1	33651758	
GCA_010443215.1	16588118	GCF_010443215.1	17319338	
GCA_023587465.1	33647448	GCF_023587465.1	33691538	
GCA_023587085.1	33647048	GCF_023587085.1	33693618	
GCA_023587205.1	33647168	GCF_023587205.1	33693738	
GCA_002859445.1	5838308	GCF_002859445.1	5858258	
GCA_021474145.1	30955138	GCF_021474145.1	30988438	
GCA_023573105.1	33604728	GCF_023573105.1	33652538	
GCA_023586965.1	33646908	GCF_023586965.1	33691178	
GCA_008693845.1	14067748	GCF_008693845.1	14098788	
GCA_011390865.1	17726908	GCF_011390865.1	17779208	
GCA_004792615.1	9298448	GCF_004792615.1	9333678	
GCA_009739575.1	15599308	GCF_009739575.1	15619028	
GCA_026723845.1	38125518	GCF_026723845.1	38222558	
GCA_002948995.1	6092988	GCF_002948995.1	6159008	
GCA_006232125.1	11102958	GCF_006232125.1	11383988	
GCA_001670425.2	36035648	GCF_001670425.2	36119788	
GCA_002059225.1	4278198	GCF_002059225.1	4306488	
GCA_002068175.1	4291488	GCF_002068175.1	8338948	
GCA_000259545.1	372768	GCF_000259545.1	379078	
GCA_900638315.1	8124718	GCF_900638315.1	8153278	
GCA_000006825.1	7628	GCF_000006825.1	28408	
GCA_001663095.1	3298998	GCF_001663095.1	3311748	
GCA_000255915.1	365638	GCF_000255915.1	367858	
GCA_000234745.1	315408	GCF_000234745.1	359908	
GCA_001956795.1	3990428	GCF_001956795.1	4006058	
GCA_001578435.2	4965978	GCF_001578435.2	4974858	
GCA_000512395.1	884618	GCF_000512395.1	1497198	
GCA_000973565.1	1729078	GCF_000973565.1	1731968	
GCA_900475535.1	6715088	GCF_900475535.1	6723858	
GCA_003425505.1	7135198	GCF_003425505.1	7216178	
GCA_019703385.1	28491548	GCF_019703385.1	28505888	
GCA_019703365.1	28491528	GCF_019703365.1	28504388	
GCA_013394405.1	20287668	GCF_013394405.1	20300028	
GCA_019703755.1	28491868	GCF_019703755.1	28505448	
GCA_900638105.1	8124378	GCF_900638105.1	8156998	
GCA_019703795.1	28491908	GCF_019703795.1	28506668	
GCA_003352405.1	6972488	GCF_003352405.1	6991168	
GCA_919949215.1	30405318	GCF_919949215.1	30446618	
GCA_900478325.1	6711008	GCF_900478325.1	6725438	
GCA_003352345.1	6972428	GCF_003352345.1	6990488	
GCA_019703595.1	28491708	GCF_019703595.1	28506568	
GCA_019703695.1	28491808	GCF_019703695.1	28505948	
GCA_003425645.1	7135338	GCF_003425645.1	7215078	
GCA_003425955.1	7135658	GCF_003425955.1	7215098	
GCA_019930705.1	28798478	GCF_019930705.1	29030318	
GCA_019703545.1	28491668	GCF_019703545.1	28505128	
GCA_002966695.1	6149138	GCF_002966695.1	6183938	
GCA_002966715.1	6149158	GCF_002966715.1	6181178	
GCA_003425525.1	7135218	GCF_003425525.1	7213378	
GCA_014931495.1	22588378	GCF_014931495.1	23839098	
GCA_900478275.1	6711068	GCF_900478275.1	6726318	
GCA_003352365.1	6972448	GCF_003352365.1	6990608	
GCA_000931625.1	1636588	GCF_000931625.1	1659458	
GCA_008831525.1	14240478	GCF_008831525.1	14366698	
GCA_019703525.1	28491648	GCF_019703525.1	28505868	
GCA_002966615.1	6149058	GCF_002966615.1	6181128	
GCA_002966635.1	6149078	GCF_002966635.1	6182098	
GCA_019703675.1	28491788	GCF_019703675.1	28504908	
GCA_019703735.1	28491848	GCF_019703735.1	28504348	
GCA_900635805.1	8120088	GCF_900635805.1	8154758	
GCA_901472485.1	10609388	GCF_901472485.1	10711028	
GCA_900478735.1	6710828	GCF_900478735.1	6723638	
GCA_003351445.1	6971048	GCF_003351445.1	6990788	
GCA_900635795.1	8120068	GCF_900635795.1	8156538	
GCA_003425565.1	7135258	GCF_003425565.1	7214818	
GCA_003425605.1	7135298	GCF_003425605.1	7216298	
GCA_002966575.1	6149018	GCF_002966575.1	6183328	
GCA_002966595.1	6149038	GCF_002966595.1	6183738	
GCA_019703405.1	28491568	GCF_019703405.1	28505808	
GCA_016861285.1	24960358	GCF_016861285.1	25006748	
GCA_000767075.1	1362438	GCF_000767075.1	1517168	
GCA_900475995.1	6716248	GCF_900475995.1	6726238	
GCA_003425935.1	7135638	GCF_003425935.1	7216058	
GCA_003351585.1	6971188	GCF_003351585.1	6989508	
GCA_003425715.1	7135408	GCF_003425715.1	7214398	
GCA_000931605.1	1636568	GCF_000931605.1	1659278	
GCA_003425585.1	7135278	GCF_003425585.1	7215918	
GCA_003425815.1	7135478	GCF_003425815.1	7215658	
GCA_003425445.1	7135138	GCF_003425445.1	7215178	
GCA_020735825.1	29943478	GCF_020735825.1	29959878	
GCA_900475755.1	6715388	GCF_900475755.1	6724138	
GCA_020736025.1	29943718	GCF_020736025.1	29955598	
GCA_003425765.1	7135438	GCF_003425765.1	7215138	
GCA_003425465.1	7135158	GCF_003425465.1	7213958	
GCA_003425625.1	7135318	GCF_003425625.1	7213438	
GCA_019703425.1	28491588	GCF_019703425.1	28504868	
GCA_002073475.2	6152218	GCF_002073475.2	6175388	
GCA_001856725.1	3671328	GCF_001856725.1	3675178	
GCA_002966675.1	6149118	GCF_002966675.1	6180218	
GCA_002966655.1	6149098	GCF_002966655.1	6180138	
GCA_019703655.1	28491768	GCF_019703655.1	28505908	
GCA_019703495.1	28491628	GCF_019703495.1	28504268	
GCA_019703635.1	28491748	GCF_019703635.1	28505068	
GCA_003351425.1	6971028	GCF_003351425.1	6990588	
GCA_003351465.1	6971068	GCF_003351465.1	6991148	
GCA_019703575.1	28491688	GCF_019703575.1	28504448	
GCA_002966735.1	6149178	GCF_002966735.1	6182138	
GCA_002988215.2	40588908	GCF_002988215.2	40650678	
GCA_002988885.2	40588828	GCF_002988885.2	40645858	
GCA_003425485.1	7135178	GCF_003425485.1	7214158	
GCA_019703615.1	28491728	GCF_019703615.1	28504308	
GCA_014701215.1	22258458	GCF_014701215.1	22329598	
GCA_019703455.1	28491608	GCF_019703455.1	28506628	
GCA_919946725.1	30405338	GCF_919946725.1	30447378	
GCA_003351605.1	6971208	GCF_003351605.1	6990088	
GCA_019703715.1	28491828	GCF_019703715.1	28504048	
GCA_019703775.1	28491888	GCF_019703775.1	28506248	
GCA_000165525.1	200638	GCF_000165525.1	376368	
GCA_000012185.1	12988	GCF_000012185.1	33288	
GCA_000968335.1	1719438	GCF_000968335.1	1722298	
GCA_000200475.1	261298	GCF_000200475.1	265398	
GCA_008586805.1	13947298	GCF_008586805.1	14000368	
GCA_008586745.1	13947238	GCF_008586745.1	14000768	
GCA_000197875.1	258698	GCF_000197875.1	265358	
GCA_008586825.1	13947318	GCF_008586825.1	14000388	
GCA_000210875.1	273438	GCF_000210875.1	359628	
GCA_000465255.1	779918	GCF_000465255.1	782908	
GCA_000165575.1	200768	GCF_000165575.1	376348	
GCA_000698365.1	1094898	GCF_000698365.1	1494618	
GCA_017357465.1	25556648	GCF_017357465.1	25585458	
GCA_026153635.1	37359708	GCF_026153635.1	37388468	
GCA_023100885.1	32933998	GCF_023100885.1	32950338	
GCA_023035175.1	32834438	GCF_023035175.1	32903938	
GCA_021953185.1	31499208	GCF_021953185.1	31570838	
GCA_003431405.1	7201148	GCF_003431405.1	7264418	
GCA_900475195.1	6714208	GCF_900475195.1	6724838	
GCA_027941935.1	39875378	GCF_027941935.1	39889658	
GCA_023921245.1	34176938	GCF_023921245.1	34307138	
GCA_021957145.1	31503408	GCF_021957145.1	31570638	
GCA_021952605.1	31498628	GCF_021952605.1	31570698	
GCA_021957065.1	31503328	GCF_021957065.1	31570558	
GCA_021953265.1	31499288	GCF_021953265.1	31570378	
GCA_021952465.1	31498488	GCF_021952465.1	31570778	
GCA_023520775.1	33484048	GCF_023520775.1	33527898	
GCA_021957105.1	31503368	GCF_021957105.1	31570878	
GCA_021952945.1	31498968	GCF_021952945.1	31570618	
GCA_021953005.1	31499048	GCF_021953005.1	31570538	
GCA_021957205.1	31503468	GCF_021957205.1	31570398	
GCA_021953125.1	31499148	GCF_021953125.1	31570518	
GCA_021953085.1	31499108	GCF_021953085.1	31570798	
GCA_021952485.1	31498508	GCF_021952485.1	31570858	
GCA_019264705.1	27912118	GCF_019264705.1	27914418	
GCA_021957125.1	31503388	GCF_021957125.1	31570758	
GCA_000016685.1	17488	GCF_000016685.1	37788	
GCA_001460855.1	2707598	GCF_001460855.1	2714768	
GCA_021957165.1	31503428	GCF_021957165.1	31570498	
GCA_000020405.1	21208	GCF_000020405.1	41448	
GCA_021957085.1	31503348	GCF_021957085.1	31570458	
GCA_021957045.1	31503308	GCF_021957045.1	31570678	
GCA_021957025.1	31503288	GCF_021957025.1	31570818	
GCA_021957185.1	31503448	GCF_021957185.1	31570438	
GCA_000015885.1	16688	GCF_000015885.1	36988	
GCA_029762435.1	42162668	GCF_029762435.1	42170728	
GCA_013285285.1	19959648	GCF_013285285.1	19985348	
GCA_013373555.1	20155518	GCF_013373555.1	20163578	
GCA_017352295.1	25546488	GCF_017352295.1	25555208	
GCA_028748045.1	40943028	GCF_028748045.1	40965478	
GCA_016845695.1	24935498	GCF_016845695.1	24979758	
GCA_017352255.1	25546448	GCF_017352255.1	25555348	
GCA_011044315.1	17297898	GCF_011044315.1	17349318	
GCA_009707445.1	15506148	GCF_009707445.1	15508338	
GCA_029762455.1	42162688	GCF_029762455.1	42170088	
GCA_008330065.1	13665888	GCF_008330065.1	13758648	
GCA_017352275.1	25546468	GCF_017352275.1	25555188	
GCA_002055565.1	4267758	GCF_002055565.1	4352258	
GCA_000742795.1	1190988	GCF_000742795.1	1646498	
GCA_015832095.1	23643758	GCF_015832095.1	23688848	
GCA_001611775.1	3163198	GCF_001611775.1	3178178	
GCA_011044275.1	17297858	GCF_011044275.1	17349198	
GCA_011044295.1	17297878	GCF_011044295.1	17349458	
GCA_009831435.1	15732738	GCF_009831435.1	15812278	
GCA_000740985.1	1189168	GCF_000740985.1	1497518	
GCA_003288155.1	6753438	GCF_003288155.1	6835218	
GCA_002777455.1	5658148	GCF_002777455.1	13396858	
GCA_003286935.1	6752158	GCF_003286935.1	6835358	
GCA_002777395.1	5658088	GCF_002777395.1	13396678	
GCA_000021885.1	22688	GCF_000021885.1	42868	
GCA_001594265.1	3129598	GCF_001594265.1	3131068	
GCA_024730725.1	35292578	GCF_024730725.1	35299688	
GCA_020809485.1	30054068	GCF_020809485.1	30085228	
GCA_008086365.1	13399958	GCF_008086365.1	13435478	
GCA_008086385.1	13399978	GCF_008086385.1	14351028	
GCA_001690155.1	3350918	GCF_001690155.1	3354688	
GCA_008086405.1	13399998	GCF_008086405.1	13437818	
GCA_023517895.1	33476608	GCF_023517895.1	33528058	
GCA_023517915.1	33476668	GCF_023517915.1	33528638	
GCA_023517935.1	33476728	GCF_023517935.1	33527878	
GCA_025449295.1	36330608	GCF_025449295.1	36426728	
GCA_001594245.1	3129578	GCF_001594245.1	3131188	
GCA_023517855.1	33476468	GCF_023517855.1	33528698	
GCA_023517875.1	33476548	GCF_023517875.1	33528298	
GCA_024730745.1	35292598	GCF_024730745.1	35307628	
GCA_023517835.1	33476408	GCF_023517835.1	33528098	
GCA_016026035.1	23869618	GCF_016026035.1	23948528	
GCA_023517815.1	33476328	GCF_023517815.1	33527818	
GCA_024730705.1	35292558	GCF_024730705.1	35299348	
GCA_024730685.1	35292538	GCF_024730685.1	35299088	
GCA_000604045.1	979118	GCF_000604045.1	1496878	
GCA_001547775.1	2859058	GCF_001547775.1	2861858	
GCA_000163615.3	3328418	GCF_000163615.3	4678868	
GCA_000146265.4	4132458	GCF_000146265.3	7194018	
GCA_019822885.1	28653638	GCF_019822885.1	28677068	
GCA_020892835.1	30169798	N/A	N/A	
GCA_022964995.1	32755668	GCF_022964995.1	32806508	
GCA_000969315.2	20254508	GCF_000969315.2	20290618	
GCA_025884415.1	36982758	GCF_025884415.1	37005318	
GCA_003864155.1	7990858	GCF_003864155.1	8055818	
GCA_012850815.1	19271128	GCF_012850815.1	19356868	
GCA_012850655.1	19270968	GCF_012850655.1	19353108	
GCA_012850275.1	19270608	GCF_012850275.1	19356828	
GCA_012850075.1	19270408	GCF_012850075.1	19356808	
GCA_012849875.1	19270218	GCF_012849875.1	19353068	
GCA_012850455.1	19270788	GCF_012850455.1	19357108	
GCA_012850955.1	19271248	GCF_012850955.1	19355848	
GCA_025884555.1	36982818	GCF_025884555.1	37005598	
GCA_030252265.1	43296688	GCF_030252265.1	43373918	
GCA_030517085.1	45375848	GCF_030517085.1	45518598	
GCA_030252285.1	43296708	GCF_030252285.1	43373938	
GCA_030252305.1	43296728	GCF_030252305.1	43373858	
GCA_002263255.2	38918058	GCF_002263255.2	38937858	
GCA_026013665.1	37180828	GCF_026013665.1	37247108	
GCA_000209675.1	272128	GCF_000209675.1	280428	
GCA_014931395.1	22588278	GCF_014931395.1	23839138	
GCA_030144815.1	43007568	GCF_030144815.1	43118028	
GCA_003390455.1	7081258	GCF_003390455.1	7090208	
GCA_004104465.2	13709748	GCF_004104465.2	13764198	
GCA_900638025.1	8124218	GCF_900638025.1	8154858	
GCA_014931475.1	22588358	GCF_014931475.1	23839578	
GCA_014931295.1	22588178	GCF_014931295.1	23839118	
GCA_014931275.1	22588158	GCF_014931275.1	23839198	
GCA_014931315.1	22588198	GCF_014931315.1	23839858	
GCA_014931375.1	22588258	GCF_014931375.1	23839638	
GCA_014931455.1	22588338	GCF_014931455.1	23839178	
GCA_014931415.1	22588298	GCF_014931415.1	23839158	
GCA_014931435.1	22588318	GCF_014931435.1	23839358	
GCA_014931335.1	22588218	GCF_014931335.1	23839738	
GCA_014931355.1	22588238	GCF_014931355.1	23839398	
GCA_031191205.1	47006958	GCF_031191205.1	47188938	
GCA_000210895.1	273458	GCF_000210895.1	302228	
GCA_008085875.1	13396818	GCF_008085875.1	13439198	
GCA_016415185.1	24301118	GCF_016415185.1	24329468	
GCA_016415085.1	24300658	GCF_016415085.1	24329088	
GCA_002162215.1	4540308	GCF_002162215.1	4544608	
GCA_008085715.1	13396538	GCF_008085715.1	13440178	
GCA_016455325.1	24360308	GCF_016455325.1	24362488	
GCA_016415305.1	24301218	GCF_016415305.1	24329528	
GCA_002162235.1	4540328	GCF_002162235.1	4545168	
GCA_002162295.1	4540388	GCF_002162295.1	4544828	
GCA_002162255.1	4540348	GCF_002162255.1	4545028	
GCA_008086425.1	13400018	GCF_008086425.1	13440278	
GCA_002162195.1	4540288	GCF_002162195.1	4544788	
GCA_016415245.1	24301158	GCF_016415245.1	24329148	
GCA_008085775.1	13396658	GCF_008085775.1	13440238	
GCA_008087605.1	13400938	GCF_008087605.1	13446538	
GCA_008085855.1	13396798	GCF_008085855.1	13438318	
GCA_008085835.1	13396758	GCF_008085835.1	13440258	
GCA_008085815.1	13396738	GCF_008085815.1	13439158	
GCA_008085795.1	13396698	GCF_008085795.1	13438258	
GCA_002162175.1	4540268	GCF_002162175.1	4544768	
GCA_008085735.1	13396578	GCF_008085735.1	13439778	
GCA_008085755.1	13396618	GCF_008085755.1	13439138	
GCA_008085695.1	13396478	GCF_008085695.1	13439758	
GCA_002162275.1	4540368	GCF_002162275.1	4544808	
GCA_016415145.1	24301058	GCF_016415145.1	24329108	
GCA_016415045.1	24300618	GCF_016415045.1	24329428	
GCA_016415005.1	24300518	GCF_016415005.1	24329408	
GCA_016415225.1	24301138	GCF_016415225.1	24329488	
