GenBank Assembly ID (Accession.version)	GenBank release ID	RefSeq Assembly ID (Accession.version)	RefSeq release ID 	
GCA_030764125.1	46391778	GCF_030764125.1	46485798	
GCA_030764135.1	46391788	GCF_030764135.1	46484798	
GCA_030764145.1	46391828	GCF_030764145.1	46485818	
GCA_030764165.1	46391818	GCF_030764165.1	46484578	
GCA_030764225.1	46391868	GCF_030764225.1	46484598	
GCA_030764285.1	46391928	GCF_030764285.1	46485858	
GCA_030764425.1	46392088	GCF_030764425.1	46484858	
GCA_030764545.1	46392188	GCF_030764545.1	46484878	
GCA_030763705.1	46391378	GCF_030763705.1	46485658	
GCA_030763505.1	46391148	GCF_030763505.1	46484438	
GCA_030763525.1	46391188	GCF_030763525.1	46484658	
GCA_030763985.1	46391628	GCF_030763985.1	46485738	
GCA_030763965.1	46391608	GCF_030763965.1	46485098	
GCA_030764205.1	46391848	GCF_030764205.1	46485838	
GCA_030764725.1	46392368	GCF_030764725.1	46486598	
GCA_030763485.1	46391128	GCF_030763485.1	46485558	
GCA_030764245.1	46391888	GCF_030764245.1	46484818	
GCA_030763365.1	46391038	GCF_030763365.1	46484618	
GCA_030763385.1	46391058	GCF_030763385.1	46484978	
GCA_030764265.1	46391908	GCF_030764265.1	46485138	
GCA_030763465.1	46391108	GCF_030763465.1	46484998	
GCA_030764665.1	46392318	GCF_030764665.1	46486578	
GCA_030764015.1	46391658	GCF_030764015.1	46485118	
GCA_900445035.1	7043078	GCF_900445035.1	7052468	
GCA_900450755.1	7000188	GCF_900450755.1	7028978	
GCA_900450865.1	6980148	GCF_900450865.1	7002038	
GCA_001679305.1	3330728	GCF_001679305.1	3331628	
GCA_001679335.1	3330768	GCF_001679335.1	3331548	
GCA_000174155.1	216398	GCF_000174155.1	216418	
GCA_020521555.1	29648088	GCF_020521555.1	29665108	
GCA_026226815.1	37462608	GCF_026226815.1	37516228	
GCA_900444935.1	7043538	GCF_900444935.1	7050988	
GCA_026226805.1	37462628	GCF_026226805.1	37516308	
GCA_029814155.1	42216478	GCF_029814155.1	42244668	
GCA_026226765.1	37462588	GCF_026226765.1	37516948	
GCA_029852175.1	42263958	GCF_029852175.1	42277238	
